prix,ville,departement,surface,pieces,latitude,longitude,source,url
1055000,Joinville-Le-Pont (près Champigny),94,144,6,48.81961,2.46613,PAP,https://www.pap.fr/annonces/maison-joinville-le-pont-94340-r464500084
990000,Joinville-Le-Pont (près Champigny),94,198,6,48.80458,2.463,PAP,https://www.pap.fr/annonces/maison-joinville-le-pont-94340-r464100777
1190000,Saint-Maur-Des-Fossés (La Varenne-Saint-Hilaire),94,100,3,48.79472,2.48249,PAP,https://www.pap.fr/annonces/maison-saint-maur-des-fosses-94100-r463802200
975000,Saint-Maur-Des-Fossés (Adamville),94,158,6,48.79604,2.49464,PAP,https://www.pap.fr/annonces/maison-saint-maur-des-fosses-94100-r462000216
1110000,Saint-Maur-Des-Fossés (La Varenne),94,165,7,48.81232,2.48647,PAP,https://www.pap.fr/annonces/maison-saint-maur-des-fosses-94100-r449900226
740000,Saint-Maur-Des-Fossés (Bagaudes),94,100,4,48.7979,2.52806,PAP,https://www.pap.fr/annonces/maison-saint-maur-des-fosses-94100-r453403134
820000,Saint-Maur-Des-Fossés,94,120,6,48.80604,2.51148,PAP,https://www.pap.fr/annonces/maison-saint-maur-des-fosses-94100-r463800267
550000,Saint-Maur-Des-Fossés (La Varenne),94,90,4,48.81688,2.46483,PAP,https://www.pap.fr/annonces/maison-saint-maur-des-fosses-94100-r463701052
1190000,Saint-Maur-Des-Fossés (Diderot-Adamville),94,246,6,48.79413,2.48164,PAP,https://www.pap.fr/annonces/maison-saint-maur-des-fosses-94100-r463800850
845000,Chennevières-Sur-Marne (près Saint-Maur),94,165,6,48.80324,2.56197,PAP,https://www.pap.fr/annonces/maison-chennevieres-sur-marne-94430-r462302687
400000,Savigny-Sur-Orge,91,117,6,48.66487,2.34156,PAP,https://www.pap.fr/annonces/maison-savigny-sur-orge-r463300316
365000,Savigny-Sur-Orge,91,116,4,48.6642,2.34319,PAP,https://www.pap.fr/annonces/maison-savigny-sur-orge-91600-r463303589
399000,Savigny-Sur-Orge (Cherchefeuilles),91,180,6,48.68449,2.35114,PAP,https://www.pap.fr/annonces/maison-savigny-sur-orge-91600-r463203428
430000,Savigny-Sur-Orge,91,155,7,48.68677,2.3481,PAP,https://www.pap.fr/annonces/maison-savigny-sur-orge-91600-r458500821
450000,Savigny-Sur-Orge,91,144,6,48.69681,2.31783,PAP,https://www.pap.fr/annonces/maison-savigny-sur-orge-91600-r457701813
399000,Savigny-Sur-Orge,91,115,5,48.69372,2.35427,PAP,https://www.pap.fr/annonces/maison-savigny-sur-orge-91600-r462202611
298000,Savigny-Sur-Orge (Plateau),91,86,4,48.70761,2.33749,PAP,https://www.pap.fr/annonces/maison-savigny-sur-orge-91600-r460800656
419000,Savigny-Sur-Orge (Plateau),91,143,6,48.68157,2.34977,PAP,https://www.pap.fr/annonces/maison-savigny-sur-orge-91600-r459003375
427000,Savigny-Sur-Orge,91,140,6,48.68531,2.34459,PAP,https://www.pap.fr/annonces/maison-savigny-sur-orge-91600-r463603269
358000,Lille,59,105,5,50.62864,3.05628,PAP,https://www.pap.fr/annonces/maison-lille-r463100239
495000,Lille (Saint-Maurice Pellevoisin),59,140,6,50.61532,3.01261,PAP,https://www.pap.fr/annonces/maison-lille-59000-r464402141
250000,Lille,59,90,6,50.61861,3.04462,PAP,https://www.pap.fr/annonces/maison-lille-59000-r462701542
290000,Lille (Bois Blancs),59,115,5,50.6318,3.05372,PAP,https://www.pap.fr/annonces/maison-lille-59000-r464201255
559000,Saint-André-Lez-Lille (près Lille),59,149,6,50.65269,3.03445,PAP,https://www.pap.fr/annonces/maison-saint-andre-lez-lille-59350-r464302283
395000,Lambersart (près Lille),59,143,6,50.65495,3.03442,PAP,https://www.pap.fr/annonces/maison-lambersart-59130-r463000426
405000,Rouen,76,169,6,49.43905,1.08763,PAP,https://www.pap.fr/annonces/maison-rouen-76000-r463100402
1400000,Rouen,76,630,8,49.44717,1.08499,PAP,https://www.pap.fr/annonces/maison-rouen-r464200158
525000,Rouen (Descroizilles),76,204,7,49.46228,1.10667,PAP,https://www.pap.fr/annonces/maison-rouen-76000-r463902255
549000,Bihorel (près Rouen),76,176,7,49.46029,1.12024,PAP,https://www.pap.fr/annonces/maison-bihorel-76420-r463400776
269000,Mont-Saint-Aignan (près Rouen),76,130,6,49.47126,1.08727,PAP,https://www.pap.fr/annonces/maison-mont-saint-aignan-76130-r464202806
525000,Mont-Saint-Aignan (près Rouen),76,160,6,49.44827,1.06659,PAP,https://www.pap.fr/annonces/maison-mont-saint-aignan-76130-r463400184
320000,Bois-Guillaume (près Rouen),76,87,4,49.47534,1.10238,PAP,https://www.pap.fr/annonces/maison-bois-guillaume-76230-r464501759
455000,Bois-Guillaume (près Rouen),76,161,6,49.47963,1.14575,PAP,https://www.pap.fr/annonces/maison-bois-guillaume-76230-r464501525
450000,"Bois-Guillaume (Mont-Fortin, près Rouen)",76,140,6,49.46982,1.12159,PAP,https://www.pap.fr/annonces/maison-bois-guillaume-76230-r462900513
290000,Igoville (près Rouen),27,120,5,49.31503,1.15435,PAP,https://www.pap.fr/annonces/maison-igoville-27460-r464100980
350000,Heudebouville,27,150,6,49.18485,1.2154,PAP,https://www.pap.fr/annonces/maison-heudebouville-27400-r463603276
257000,Heudreville-Sur-Eure (près Heudebouville),27,137,6,49.14883,1.2076,PAP,https://www.pap.fr/annonces/maison-heudreville-sur-eure-27400-r463003104
218000,Aubevoye (près Heudebouville),27,107,4,49.16596,1.33315,PAP,https://www.pap.fr/annonces/maison-aubevoye-27940-r464400203
